time,voltaje_ent,voltaje_cap_5,Resistencia real,Capacitancia Real
0,4.93,0,53300,100
200,4.93,0,53300,100
400,4.93,0.02,53300,100
600,4.93,0.24,53300,100
800,4.93,0.43,53300,100
1000,4.93,0.66,53300,100
1200,4.93,0.85,53300,100
1400,4.93,1.07,53300,100
1600,4.93,1.26,53300,100
1800,4.93,1.46,53300,100
2000,4.93,1.41,53300,100
2200,4.93,1.7,53300,100
2400,4.93,1.9,53300,100
2600,4.93,2.08,53300,100
2800,4.93,2.25,53300,100
3000,4.93,2.4,53300,100
3200,4.93,2.56,53300,100
3400,4.93,2.69,53300,100
3600,4.93,2.85,53300,100
3800,4.93,3,53300,100
4000,4.93,3.12,53300,100
4200,4.93,3.26,53300,100
4400,4.93,3.38,53300,100
4600,4.93,3.52,53300,100
4800,4.93,3.65,53300,100
5000,4.93,3.83,53300,100
5200,4.93,3.94,53300,100
5400,4.93,4.12,53300,100
5600,4.93,4.3,53300,100
5800,4.93,4.47,53300,100
6000,4.93,4.74,53300,100
6200,4.93,4.88,53300,100
6400,4.93,5,53300,100
6600,4.93,5,53300,100
6800,4.93,5,53300,100
7000,4.93,5,53300,100
7200,4.93,5,53300,100
7400,4.93,5,53300,100
7600,4.93,5,53300,100
7800,4.93,5,53300,100
8000,4.93,5,53300,100
8200,4.93,5,53300,100
8400,4.93,5,53300,100
8600,4.93,5,53300,100
8800,4.93,5,53300,100
9000,4.93,5,53300,100
9200,4.93,5,53300,100
9400,4.93,5,53300,100
9600,4.93,5,53300,100
9800,4.93,5,53300,100
10000,4.93,5,53300,100
10200,4.93,5,53300,100
10400,4.93,5,53300,100
10600,4.93,5,53300,100
10800,4.93,5,53300,100
11000,4.93,5,53300,100
11200,4.93,5,53300,100
11400,4.93,5,53300,100
11600,4.93,5,53300,100
11800,4.93,5,53300,100
12000,4.93,5,53300,100
12200,4.93,5,53300,100
12400,4.93,5,53300,100
12600,4.93,5,53300,100
12800,4.93,5,53300,100
13000,4.93,5,53300,100
13200,4.93,5,53300,100
13400,4.93,5,53300,100
13600,4.93,5,53300,100
13800,4.93,5,53300,100
14000,4.93,5,53300,100
14200,4.93,5,53300,100
14400,4.93,5,53300,100
14600,4.93,5,53300,100
14800,4.93,5,53300,100
15000,4.93,5,53300,100
15200,4.93,5,53300,100
15400,4.93,5,53300,100
15600,4.93,5,53300,100
15800,4.93,5,53300,100
0,4.93,0,53300,100
200,4.93,0.03,53300,100
400,4.93,0.25,53300,100
600,4.93,0.26,53300,100
800,4.93,0.4,53300,100
1000,4.93,0.58,53300,100
1200,4.93,1.07,53300,100
1400,4.93,1.1,53300,100
1600,4.93,1.32,53300,100
1800,4.93,1.46,53300,100
2000,4.93,1.66,53300,100
2200,4.93,1.82,53300,100
2400,4.93,2.03,53300,100
2600,4.93,2.14,53300,100
2800,4.93,2.3,53300,100
3000,4.93,2.46,53300,100
3200,4.93,2.66,53300,100
3400,4.93,2.75,53300,100
3600,4.93,3,53300,100
3800,4.93,3.05,53300,100
4000,4.93,3.12,53300,100
4200,4.93,3.29,53300,100
4400,4.93,3.44,53300,100
4600,4.93,3.55,53300,100
4800,4.93,3.68,53300,100
5000,4.93,3.82,53300,100
5200,4.93,4.01,53300,100
5400,4.93,4.16,53300,100
5600,4.93,4.29,53300,100
5800,4.93,4.52,53300,100
6000,4.93,4.72,53300,100
6200,4.93,4.98,53300,100
6400,4.93,5,53300,100
6600,4.93,5,53300,100
6800,4.93,5,53300,100
7000,4.93,5,53300,100
7200,4.93,5,53300,100
7400,4.93,5,53300,100
7600,4.93,5,53300,100
7800,4.93,5,53300,100
8000,4.93,5,53300,100
8200,4.93,5,53300,100
8400,4.93,5,53300,100
8600,4.93,5,53300,100
8800,4.93,5,53300,100
9000,4.93,5,53300,100
9200,4.93,5,53300,100
9400,4.93,5,53300,100
9600,4.93,5,53300,100
9800,4.93,5,53300,100
10000,4.93,5,53300,100
10200,4.93,5,53300,100
10400,4.93,5,53300,100
10600,4.93,5,53300,100
10800,4.93,5,53300,100
11000,4.93,5,53300,100
11200,4.93,5,53300,100
11400,4.93,5,53300,100
11600,4.93,5,53300,100
11800,4.93,5,53300,100
12000,4.93,5,53300,100
12200,4.93,5,53300,100
12400,4.93,5,53300,100
12600,4.93,5,53300,100
12800,4.93,5,53300,100
13000,4.93,5,53300,100
13200,4.93,5,53300,100
13400,4.93,5,53300,100
13600,4.93,5,53300,100
13800,4.93,5,53300,100
14000,4.93,5,53300,100
14200,4.93,5,53300,100
14400,4.93,5,53300,100
14600,4.93,5,53300,100
14800,4.93,5,53300,100
15000,4.93,5,53300,100
15200,4.93,5,53300,100
15400,4.93,5,53300,100
15600,4.93,5,53300,100
15800,4.93,5,53300,100
0,4.93,0,53300,100
200,4.93,0.06,53300,100
400,4.93,0.31,53300,100
600,4.93,0.55,53300,100
800,4.93,0.68,53300,100
1000,4.93,0.93,53300,100
1200,4.93,1.1,53300,100
1400,4.93,1.26,53300,100
1600,4.93,1.51,53300,100
1800,4.93,1.68,53300,100
2000,4.93,1.83,53300,100
2200,4.93,2.03,53300,100
2400,4.93,2.21,53300,100
2600,4.93,2.22,53300,100
2800,4.93,2.37,53300,100
3000,4.93,2.53,53300,100
3200,4.93,2.68,53300,100
3400,4.93,2.91,53300,100
3600,4.93,3.01,53300,100
3800,4.93,3.2,53300,100
4000,4.93,3.29,53300,100
4200,4.93,3.36,53300,100
4400,4.93,3.47,53300,100
4600,4.93,3.49,53300,100
4800,4.93,3.8,53300,100
5000,4.93,3.97,53300,100
5200,4.93,4.1,53300,100
5400,4.93,4.31,53300,100
5600,4.93,4.32,53300,100
5800,4.93,4.74,53300,100
6000,4.93,4.85,53300,100
6200,4.93,4.88,53300,100
6400,4.93,5,53300,100
6600,4.93,4.7,53300,100
6800,4.93,4.83,53300,100
7000,4.93,5,53300,100
7200,4.93,5,53300,100
7400,4.93,5,53300,100
7600,4.93,5,53300,100
7800,4.93,5,53300,100
8000,4.93,5,53300,100
8200,4.93,5,53300,100
8400,4.93,5,53300,100
8600,4.93,5,53300,100
8800,4.93,5,53300,100
9000,4.93,5,53300,100
9200,4.93,5,53300,100
9400,4.93,5,53300,100
9600,4.93,5,53300,100
9800,4.93,5,53300,100
10000,4.93,5,53300,100
10200,4.93,5,53300,100
10400,4.93,5,53300,100
10600,4.93,5,53300,100
10800,4.93,5,53300,100
11000,4.93,5,53300,100
11200,4.93,5,53300,100
11400,4.93,5,53300,100
11600,4.93,5,53300,100
11800,4.93,5,53300,100
12000,4.93,5,53300,100
12200,4.93,5,53300,100
12400,4.93,5,53300,100
12600,4.93,5,53300,100
12800,4.93,5,53300,100
13000,4.93,5,53300,100
13200,4.93,5,53300,100
13400,4.93,5,53300,100
13600,4.93,5,53300,100
13800,4.93,5,53300,100
14000,4.93,5,53300,100
14200,4.93,5,53300,100
14400,4.93,5,53300,100
14600,4.93,5,53300,100
14800,4.93,5,53300,100
15000,4.93,5,53300,100
15200,4.93,5,53300,100
15400,4.93,5,53300,100
15600,4.93,5,53300,100
15800,4.93,5,53300,100
0,4.93,0,53300,100
200,4.93,0,53300,100
400,4.93,0,53300,100
600,4.93,0,53300,100
800,4.93,0.2,53300,100
1000,4.93,0.41,53300,100
1200,4.93,0.62,53300,100
1400,4.93,0.79,53300,100
1600,4.93,0.87,53300,100
1800,4.93,1.07,53300,100
2000,4.93,1.46,53300,100
2200,4.93,1.58,53300,100
2400,4.93,1.95,53300,100
2600,4.93,2.01,53300,100
2800,4.93,2.14,53300,100
3000,4.93,2.43,53300,100
3200,4.93,2.58,53300,100
3400,4.93,2.59,53300,100
3600,4.93,2.87,53300,100
3800,4.93,2.89,53300,100
4000,4.93,3.14,53300,100
4200,4.93,3.22,53300,100
4400,4.93,3.32,53300,100
4600,4.93,3.6,53300,100
4800,4.93,3.53,53300,100
5000,4.93,3.72,53300,100
5200,4.93,3.85,53300,100
5400,4.93,4,53300,100
5600,4.93,4.19,53300,100
5800,4.93,4.35,53300,100
6000,4.93,4.52,53300,100
6200,4.93,4.75,53300,100
6400,4.93,4.88,53300,100
6600,4.93,5,53300,100
6800,4.93,5,53300,100
7000,4.93,5,53300,100
7200,4.93,5,53300,100
7400,4.93,5,53300,100
7600,4.93,5,53300,100
7800,4.93,5,53300,100
8000,4.93,5,53300,100
8200,4.93,5,53300,100
8400,4.93,5,53300,100
8600,4.93,5,53300,100
8800,4.93,5,53300,100
9000,4.93,5,53300,100
9200,4.93,5,53300,100
9400,4.93,5,53300,100
9600,4.93,5,53300,100
9800,4.93,5,53300,100
10000,4.93,5,53300,100
10200,4.93,5,53300,100
10400,4.93,5,53300,100
10600,4.93,5,53300,100
10800,4.93,5,53300,100
11000,4.93,5,53300,100
11200,4.93,5,53300,100
11400,4.93,5,53300,100
11600,4.93,5,53300,100
11800,4.93,5,53300,100
12000,4.93,5,53300,100
12200,4.93,5,53300,100
12400,4.93,5,53300,100
12600,4.93,5,53300,100
12800,4.93,5,53300,100
13000,4.93,5,53300,100
13200,4.93,5,53300,100
13400,4.93,5,53300,100
13600,4.93,5,53300,100
13800,4.93,5,53300,100
14000,4.93,5,53300,100
14200,4.93,5,53300,100
14400,4.93,5,53300,100
14600,4.93,5,53300,100
14800,4.93,5,53300,100
15000,4.93,5,53300,100
15200,4.93,5,53300,100
15400,4.93,5,53300,100
15600,4.93,5,53300,100
15800,4.93,5,53300,100
0,4.93,0,53300,100
200,4.93,0,53300,100
400,4.93,0,53300,100
600,4.93,0.1,53300,100
800,4.93,0.3,53300,100
1000,4.93,0.48,53300,100
1200,4.93,0.8,53300,100
1400,4.93,0.94,53300,100
1600,4.93,1.19,53300,100
1800,4.93,1.55,53300,100
2000,4.93,1.61,53300,100
2200,4.93,1.74,53300,100
2400,4.93,2.1,53300,100
2600,4.93,2.03,53300,100
2800,4.93,2.17,53300,100
3000,4.93,2.34,53300,100
3200,4.93,2.46,53300,100
3400,4.93,2.84,53300,100
